arm,condition,n,mean_tok_ratio,p_unsafe_clean,p_unsafe_cond,d_unsafe,strict_clean,strict_cond,loose_clean,loose_cond,ci_lo,ci_hi,wilcoxon_p,mcnemar_strict_p,mcnemar_loose_p,wilcoxon_p_holm,mcnemar_strict_p_holm,mcnemar_loose_p_holm
harmful,clean,150,1.0,0.8240764649079453,0.8240764649079453,0.0,0.9066666666666666,0.9066666666666666,0.8533333333333334,0.8533333333333334,,,,,,,,
harmful,word_space,150,1.8408141962421711,0.8240764649079453,0.4937409322778694,-0.33033553263007587,0.9066666666666666,0.7266666666666667,0.8533333333333334,0.5733333333333334,-0.3816426510431581,-0.2781012074070119,1.5805583195639023e-21,3.4654513001441956e-06,4.461782054931973e-10,7.902791597819511e-21,2.425815910100937e-05,2.2308910274659866e-09
harmful,word_hash,150,2.4352818371607516,0.8240764649079453,0.6440037103369832,-0.18007275457096208,0.9066666666666666,0.84,0.8533333333333334,0.76,-0.22209631829589488,-0.13886787590916844,3.560200370934927e-17,0.0308837890625,0.006610751152038574,1.068060111280478e-16,0.0308837890625,0.006610751152038574
harmful,word_smile,150,2.443632567849687,0.8240764649079453,0.39375331545908315,-0.43032314944886213,0.9066666666666666,0.7266666666666667,0.8533333333333334,0.4,-0.4868148406212859,-0.37188840980381305,3.980132128322968e-22,3.4654513001441956e-06,1.1134248091657778e-18,2.388079276993781e-21,2.425815910100937e-05,7.793973664160445e-18
harmful,word_finger,150,2.443632567849687,0.8240764649079453,0.783607820024093,-0.040468644883852295,0.9066666666666666,0.9933333333333333,0.8533333333333334,0.9666666666666667,-0.082483503736136,0.0027204816488834893,4.8231832398308525e-05,0.000244140625,0.00022125244140625,4.8231832398308525e-05,0.000732421875,0.00066375732421875
harmful,tok_space,150,2.086116910229645,0.8240764649079453,0.5096938601477693,-0.31438260476017604,0.9066666666666666,0.7533333333333333,0.8533333333333334,0.5866666666666667,-0.36386845433150306,-0.26644310285010336,1.3482563498638172e-22,3.39532271027565e-05,1.8189894035458565e-12,9.437794449046721e-22,0.0001697661355137825,1.0913936421275139e-11
harmful,tok_hash,150,2.8423799582463465,0.8240764649079453,0.6107400966684023,-0.21333636823954294,0.9066666666666666,0.8133333333333334,0.8533333333333334,0.7133333333333334,-0.25699234046315783,-0.17059947164921568,2.5581205602081566e-19,0.0025768280029296875,4.9233436584472656e-05,1.0232482240832626e-18,0.005153656005859375,0.00019693374633789062
harmful,tok_smile,150,2.890918580375783,0.8240764649079453,0.32762731997917094,-0.49644914492877434,0.9066666666666666,0.5866666666666667,0.8533333333333334,0.34,-0.5515926599645367,-0.44244206713030143,2.1797492949761086e-24,6.123990203832363e-13,2.747893994901158e-21,1.743799435980887e-23,4.899192163065891e-12,2.1983151959209263e-20
harmful,tok_finger,150,2.890918580375783,0.8240764649079453,0.7457139696677526,-0.0783624952401927,0.9066666666666666,1.0,0.8533333333333334,0.96,-0.12098192360765823,-0.03242166855882292,6.911109150910171e-06,0.0001220703125,0.001543879508972168,1.3822218301820342e-05,0.00048828125,0.003087759017944336
benign_sent,clean,75,1.0,0.0005788007303999621,0.0005788007303999621,0.0,0.0,0.0,0.0,0.0,,,,,,,,
benign_sent,word_space,75,1.927927927927928,0.0005788007303999621,0.014395799623453059,0.013816998893053095,0.0,0.0,0.0,0.0,0.007361800802554778,0.021417246772355306,5.498069410967158e-14,1.0,1.0,4.224298333856125e-13,1.0,1.0
benign_sent,word_hash,75,2.4166666666666665,0.0005788007303999621,0.013519597992878213,0.012940797262478251,0.0,0.0,0.0,0.0,0.005957028499327559,0.021818981773550298,5.2803729173201566e-14,1.0,1.0,4.224298333856125e-13,1.0,1.0
benign_sent,word_smile,75,2.421171171171171,0.0005788007303999621,0.054207171546974374,0.053628370816574414,0.0,0.08,0.0,0.05333333333333334,0.029973275290385723,0.08203785276291986,5.2803729173201566e-14,0.03125,0.125,4.224298333856125e-13,0.1875,0.75
benign_sent,word_finger,75,2.421171171171171,0.0005788007303999621,0.21499050017135837,0.21441169944095842,0.0,0.36,0.0,0.24,0.16309117353472433,0.26891491238266746,5.2803729173201566e-14,1.4901161193847656e-08,7.62939453125e-06,4.224298333856125e-13,1.043081283569336e-07,5.340576171875e-05
benign_sent,tok_space,75,2.116554054054054,0.0005788007303999621,0.029704091917859235,0.02912529118745927,0.0,0.013333333333333334,0.0,0.013333333333333334,0.011201472441226542,0.052643741659569206,5.2803729173201566e-14,1.0,1.0,4.224298333856125e-13,1.0,1.0
